;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
8274;femenino;comercio;tienda;granizal;1.0;1.0;2016-06-22;6000000.0;microempresarial
8275;femenino;servicio;peluqueria;el compromiso;1.0;1.0;2018-05-25;7800000.0;microempresarial
8276;femenino;comercio;comidas rapidas;popular;2.0;1.0;2018-04-10;7800000.0;microempresarial
8278;masculino;comercio;variedades;belen;3.0;16.0;2018-10-03;5000000.0;microempresarial
8279;masculino;industria;panaderia;guayabal;3.0;15.0;2017-01-19;7000000.0;microempresarial
8280;masculino;comercio;tienda;manrique oriental;2.0;3.0;2016-08-29;1200000.0;microempresarial
8281;femenino;comercio;peluqueria;guayabal;2.0;15.0;2017-06-27;4000000.0;microempresarial
8282;masculino;comercio;productos de belleza;bello horizonte;2.0;7.0;2016-07-12;3000000.0;microempresarial
8283;masculino;comercio;tienda;robledo;2.0;7.0;2017-11-16;7300000.0;microempresarial
8284;femenino;comercio;restaurante;robledo;3.0;7.0;2017-04-24;6000000.0;microempresarial
8286;masculino;comercio;fabrica de productos;doce de octubre no.1;2.0;6.0;2018-07-11;2000000.0;microempresarial
8287;femenino;comercio;fabrica de alimentos;robledo;2.0;7.0;2018-09-24;6000000.0;microempresarial
8288;femenino;servicio;peluqueria;enciso;2.0;8.0;2018-11-15;6000000.0;microempresarial
8289;femenino;industria;fabrica de;playon de los;2.0;2.0;2016-04-07;6890000.0;microempresarial
8290;masculino;industria;fabrica de;castilla;2.0;5.0;2019-03-13;3000000.0;microempresarial
8291;femenino;comercio;comidas rapidas;aranjuez;3.0;4.0;2018-11-01;7800000.0;microempresarial
8292;masculino;industria;carpinteria;cabecera san antonio;2.0;;2017-07-13;5000000.0;microempresarial
8296;femenino;comercio;cafe e internet;robledo;2.0;7.0;2019-01-31;8281000.0;microempresarial
8297;femenino;comercio;restaurante;popular;2.0;1.0;2017-02-10;7300000.0;microempresarial
8298;masculino;comercio;restaurante;santa cruz;2.0;2.0;2017-03-14;4000000.0;microempresarial
8299;femenino;industria;fabrica de;aranjuez;2.0;4.0;2017-07-17;5000000.0;microempresarial
8300;femenino;servicio;peluqueria;belalcazar;3.0;5.0;2016-12-14;3000000.0;microempresarial
8301;femenino;comercio;variedades;robledo;2.0;7.0;2016-09-30;6890000.0;microempresarial
8302;femenino;industria;fabrica de;castilla;3.0;5.0;2018-09-21;7800000.0;microempresarial
8303;femenino;industria;fabrica de;la floresta;2.0;12.0;2017-04-07;6000000.0;microempresarial
8304;femenino;comercio;restaurante;la francia;1.0;2.0;2017-05-09;7000000.0;microempresarial
8305;masculino;comercio;panaderia;doce de octubre no.1;2.0;6.0;2018-04-04;7800000.0;microempresarial
8306;femenino;comercio;comidas rapidas;cabecera san antonio;2.0;;2018-09-10;7000000.0;microempresarial
8308;femenino;industria;fabrica de;manrique central no. 1;2.0;4.0;2017-10-19;7000000.0;microempresarial
8309;femenino;comercio;marroquineria;20 de julio;2.0;13.0;2018-11-09;1300000.0;microempresarial
8310;femenino;comercio;comidas rapidas;popular;2.0;1.0;2016-11-02;6000000.0;microempresarial
8311;masculino;comercio;variedades;robledo;1.0;7.0;2016-11-03;4000000.0;microempresarial
8312;femenino;agropecuaria;criadero de animales;santa elena central;2.0;;2017-05-03;10000000.0;microempresarial
8313;femenino;servicio;peluqueria;playon de los;2.0;2.0;2017-01-31;7377000.0;microempresarial
8315;masculino;comercio;comidas rapidas;cabecera san cristobal;2.0;;2018-10-30;3000000.0;microempresarial
8316;femenino;comercio;tienda de helados;manrique central no. 2;2.0;3.0;2016-02-26;6500000.0;microempresarial
8317;femenino;comercio;variedades;olaya herrera;2.0;7.0;2018-01-17;7800000.0;microempresarial
8318;masculino;servicio;restaurante;las palmas;3.0;10.0;2017-07-07;7370000.0;microempresarial
8320;femenino;industria;fabrica de;santander;1.0;6.0;2016-05-26;4000000.0;microempresarial
8321;femenino;comercio;tienda;aranjuez;2.0;4.0;2018-08-09;7000000.0;microempresarial
8322;femenino;agropecuaria;sembrados;cabecera san antonio;3.0;;2017-02-06;11000000.0;juridica y cap.semilla
8323;femenino;comercio;variedades;manrique central no. 1;2.0;4.0;2018-11-16;7800000.0;microempresarial
8324;femenino;industria;fabrica de;cabecera san cristobal;2.0;;2018-09-24;7000000.0;microempresarial
8325;masculino;comercio;variedades;belen;2.0;13.0;2017-11-02;7377000.0;microempresarial
8326;femenino;comercio;comidas rapidas;metropolitano;1.0;13.0;2018-04-05;2000000.0;microempresarial
8327;femenino;servicio;peluqueria;manrique central no. 2;2.0;3.0;2018-04-16;2500000.0;microempresarial
8328;femenino;comercio;almacen de ropa en;santa cruz;2.0;2.0;2018-06-01;4000000.0;microempresarial
8329;femenino;comercio;variedades;robledo;2.0;7.0;2017-08-28;2000000.0;microempresarial
8330;femenino;industria;fabrica de;robledo;2.0;7.0;2018-04-03;2000000.0;microempresarial
8331;masculino;comercio;comidas rapidas;la floresta;2.0;12.0;2018-08-02;7800000.0;microempresarial
8332;femenino;comercio;variedades;robledo;2.0;7.0;2019-06-05;8200000.0;microempresarial
8334;femenino;industria;fabrica de;doce de octubre no.1;2.0;6.0;2017-09-27;7300000.0;microempresarial
8335;femenino;comercio;tienda;manrique central no. 1;2.0;4.0;2018-09-24;2000000.0;microempresarial
8336;femenino;comercio;charcuteria;tejelo;3.0;5.0;2018-05-02;7800000.0;microempresarial
8337;masculino;servicio;mantenimiento en;castilla;3.0;5.0;2018-10-25;7800000.0;microempresarial
8339;femenino;servicio;peluqueria;carpinelo;1.0;1.0;2018-05-29;1000000.0;microempresarial
8340;femenino;industria;comidas rapidas;manrique central no. 1;1.0;4.0;2016-08-16;2000000.0;microempresarial
8342;femenino;servicio;peluqueria;boston;3.0;10.0;2018-09-10;7800000.0;microempresarial
8343;masculino;industria;joyeria;aranjuez;3.0;4.0;2016-03-17;3000000.0;microempresarial
8344;femenino;comercio;almacen de ropa en;manrique central no. 1;2.0;4.0;2017-02-14;6000000.0;microempresarial
8345;masculino;comercio;variedades;la floresta;3.0;12.0;2018-06-06;7800000.0;microempresarial
8346;masculino;servicio;barberia;centro admtivo;2.0;10.0;2019-05-06;3000000.0;microempresarial
8347;masculino;comercio;drogueria;pajarito;2.0;7.0;2017-06-29;7300000.0;microempresarial
8348;femenino;comercio;tienda;la libertad;2.0;8.0;2018-10-31;7000000.0;microempresarial
8349;masculino;comercio;carpinteria;toscana;2.0;5.0;2017-11-01;7300000.0;microempresarial
8350;femenino;industria;fabrica de;belen;2.0;16.0;2017-08-14;7300000.0;microempresarial
8351;masculino;comercio;joyeria;san javier no.1;2.0;13.0;2017-11-21;7377000.0;microempresarial
8352;femenino;comercio;tienda;la salle;2.0;3.0;2019-06-11;8000000.0;microempresarial
8353;masculino;industria;fabrica de calzado;calasanz;2.0;12.0;2017-10-17;7377000.0;microempresarial
8354;femenino;comercio;charcuteria;moravia;2.0;4.0;2016-11-18;2000000.0;microempresarial
8355;masculino;servicio;lavadero de;cabecera san cristobal;2.0;;2018-08-01;3000000.0;microempresarial
8356;femenino;servicio;peluqueria;popular;2.0;14.0;2019-05-22;7000000.0;microempresarial
8358;masculino;comercio;papeleria;pedregal;3.0;6.0;2017-08-14;6000000.0;microempresarial
8359;femenino;industria;fabrica de;barrio caicedo;1.0;9.0;2019-04-08;4500000.0;microempresarial
8360;femenino;servicio;peluqueria;manrique central no. 1;1.0;4.0;2019-02-26;7500000.0;microempresarial
8361;masculino;comercio;comidas rapidas;vrda. san cristobal;2.0;;2016-02-20;6890000.0;microempresarial
8362;femenino;industria;fabrica de;buenos aires;2.0;9.0;2019-04-03;6000000.0;microempresarial
8363;femenino;comercio;taller de mecanica;barrio caicedo;2.0;9.0;2018-05-04;6000000.0;microempresarial
8364;masculino;industria;fabrica de;santa cruz;1.0;2.0;2019-06-28;7500000.0;microempresarial
8367;femenino;servicio;peluqueria;la floresta;3.0;12.0;2018-06-20;7800000.0;microempresarial
8368;femenino;comercio;almacen de ropa en;campo valdes no. 1;1.0;4.0;2017-07-13;4000000.0;microempresarial
8369;masculino;servicio;servicios;san javier no.1;3.0;13.0;2018-06-27;7800000.0;microempresarial
8370;femenino;comercio;variedades;manrique central no. 1;3.0;4.0;2017-08-25;7370000.0;microempresarial
8371;femenino;servicio;restaurante;robledo;2.0;7.0;2016-08-26;6890000.0;microempresarial
8372;femenino;comercio;comidas rapidas;robledo;3.0;7.0;2019-06-18;8281160.0;microempresarial
8373;femenino;comercio;comidas rapidas;nuevos conquistadores;1.0;13.0;2017-04-18;1500000.0;microempresarial
8374;femenino;industria;fabrica de;santo domingo savio;1.0;1.0;2018-09-20;4000000.0;microempresarial
8375;femenino;industria;fabrica de;buenos aires;3.0;9.0;2017-09-01;7377000.0;microempresarial
8376;femenino;comercio;productos de belleza;la isla;2.0;2.0;2018-10-31;7000000.0;microempresarial
8377;femenino;comercio;variedades;el compromiso;1.0;1.0;2018-04-03;7800000.0;microempresarial
8378;masculino;comercio;granero;picacho;1.0;6.0;2018-11-22;7800000.0;microempresarial
8379;femenino;comercio;variedades;buenos aires;3.0;9.0;2017-11-29;4000000.0;microempresarial
